,Ensembl,F_sciadicus,F_rathbuni,F_zebrinus,F_grandis,F_notatus,F_parvapinis,L_goodei,F_olivaceous,L_parva,F_heteroclitusMDPP,F_similis,F_diaphanus,F_chrysotus,F_nottii,A_xenica,F_catanatus,F_heteroclitusMDPL
0,ENSFHEP00000000002,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1
1,ENSFHEP00000000003,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0
2,ENSFHEP00000000004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,ENSFHEP00000000005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,ENSFHEP00000000007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,ENSFHEP00000000008,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,ENSFHEP00000000009,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
7,ENSFHEP00000000010,1,1,0,1,0,1,0,1,1,0,1,1,1,0,0,0,1
8,ENSFHEP00000000011,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
9,ENSFHEP00000000012,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,ENSFHEP00000000013,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1
11,ENSFHEP00000000014,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,ENSFHEP00000000015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,ENSFHEP00000000020.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,ENSFHEP00000000021,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0
15,ENSFHEP00000000023.1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1
16,ENSFHEP00000000024.1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1
17,ENSFHEP00000000025,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
18,ENSFHEP00000000026.1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,1
19,ENSFHEP00000000029,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,ENSFHEP00000000030,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
21,ENSFHEP00000000032,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,ENSFHEP00000000033.1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1
23,ENSFHEP00000000034,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
24,ENSFHEP00000000035,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,ENSFHEP00000000036,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,ENSFHEP00000000037,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,ENSFHEP00000000038,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,ENSFHEP00000000040,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
29,ENSFHEP00000000042,1,1,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0
30,ENSFHEP00000000045,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1
31,ENSFHEP00000000046,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,ENSFHEP00000000047,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,ENSFHEP00000000049,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,ENSFHEP00000000050,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,ENSFHEP00000000051,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,ENSFHEP00000000052,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,ENSFHEP00000000053,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0
38,ENSFHEP00000000054,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
39,ENSFHEP00000000056,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,ENSFHEP00000000057,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,ENSFHEP00000000058,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,ENSFHEP00000000059,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,ENSFHEP00000000060,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44,ENSFHEP00000000063,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
45,ENSFHEP00000000067,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
46,ENSFHEP00000000068,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47,ENSFHEP00000000071,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
48,ENSFHEP00000000072,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
49,ENSFHEP00000000075,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1
50,ENSFHEP00000000076,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51,ENSFHEP00000000078,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
52,ENSFHEP00000000080,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
53,ENSFHEP00000000082,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
54,ENSFHEP00000000084,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
55,ENSFHEP00000000085,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
56,ENSFHEP00000000088,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1
57,ENSFHEP00000000089,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
58,ENSFHEP00000000091,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
59,ENSFHEP00000000094,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1
60,ENSFHEP00000000095,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
61,ENSFHEP00000000099,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
62,ENSFHEP00000000101,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
63,ENSFHEP00000000102,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
64,ENSFHEP00000000103,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
65,ENSFHEP00000000104,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
66,ENSFHEP00000000105.1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
67,ENSFHEP00000000107,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
68,ENSFHEP00000000108,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
69,ENSFHEP00000000109,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70,ENSFHEP00000000111,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
71,ENSFHEP00000000112,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72,ENSFHEP00000000113,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
73,ENSFHEP00000000114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74,ENSFHEP00000000117,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
75,ENSFHEP00000000123,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
76,ENSFHEP00000000124,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
77,ENSFHEP00000000125.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
78,ENSFHEP00000000127,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
79,ENSFHEP00000000128,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
80,ENSFHEP00000000129,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,ENSFHEP00000000130,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
82,ENSFHEP00000000132,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
83,ENSFHEP00000000133,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
84,ENSFHEP00000000134,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
85,ENSFHEP00000000136,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
86,ENSFHEP00000000137,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
87,ENSFHEP00000000138,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
88,ENSFHEP00000000141,1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0
89,ENSFHEP00000000143,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
90,ENSFHEP00000000146.1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
91,ENSFHEP00000000147,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1
92,ENSFHEP00000000148,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
93,ENSFHEP00000000151,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
94,ENSFHEP00000000153.1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
95,ENSFHEP00000000155,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
96,ENSFHEP00000000159,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
97,ENSFHEP00000000160,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,1
98,ENSFHEP00000000161.1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
99,ENSFHEP00000000162,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,ENSFHEP00000000166,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101,ENSFHEP00000000168,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102,ENSFHEP00000000169.1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1
103,ENSFHEP00000000174,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
104,ENSFHEP00000000175,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
105,ENSFHEP00000000176,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
106,ENSFHEP00000000177.1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1
107,ENSFHEP00000000178.1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
108,ENSFHEP00000000181,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
109,ENSFHEP00000000182,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1
110,ENSFHEP00000000183,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1
